,Motor Vehicle Sales: Annual: Sri Lanka
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Unit
Source,CEIC Data
Status,Active
Series ID,380490027
SR Code,SR196965917
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/03/2005
Last Obs. Date,12/30/2019
Last Update Time,13/03/2020
Series remarks,The International Organization of Motor Vehicle Manufacturers provides annual Motor Vehicles Sales.
Suggestions,
Mean,204.77905491698613
Variance,23023.838108639775
Standard Deviation,151.7360804444341
Skewness,1.7778127332220466
Kurtosis,3.198694251051666
Coefficient Variation,0.7409746104451223
Min,57.69230769230769
Max,671.1538461538462
Median,179.24528301886792
Sum,
Subtract,
02/18/2019,183.557692307692
02/25/2019,183.557692307692
03/04/2019,183.557692307692
03/11/2019,183.557692307692
03/18/2019,183.557692307692
03/25/2019,183.557692307692
04/01/2019,183.557692307692
04/08/2019,183.557692307692
04/15/2019,183.557692307692
04/22/2019,183.557692307692
04/29/2019,183.557692307692
05/06/2019,183.557692307692
05/13/2019,183.557692307692
05/20/2019,183.557692307692
05/27/2019,183.557692307692
06/03/2019,183.557692307692
06/10/2019,183.557692307692
06/17/2019,183.557692307692
06/24/2019,183.557692307692
07/01/2019,183.557692307692
07/08/2019,183.557692307692
07/15/2019,183.557692307692
07/22/2019,183.557692307692
07/29/2019,183.557692307692
08/05/2019,183.557692307692
08/12/2019,183.557692307692
08/19/2019,183.557692307692
08/26/2019,183.557692307692
09/02/2019,183.557692307692
09/09/2019,183.557692307692
09/16/2019,183.557692307692
09/23/2019,183.557692307692
09/30/2019,183.557692307692
10/07/2019,183.557692307692
10/14/2019,183.557692307692
10/21/2019,183.557692307692
10/28/2019,183.557692307692
11/04/2019,183.557692307692
11/11/2019,183.557692307692
11/18/2019,183.557692307692
11/25/2019,183.557692307692
12/02/2019,183.557692307692
12/09/2019,183.557692307692
12/16/2019,183.557692307692
12/23/2019,183.557692307692
12/30/2019,183.557692307692
