,Total Greenhouse Gas Emissions: Tonnes of CO2 Equivalent per Year: Transport
9/18/1995,0.073713847
9/25/1995,0.073713847
10/2/1995,0.073713847
10/9/1995,0.073713847
10/16/1995,0.073713847
10/23/1995,0.073713847
10/30/1995,0.073713847
11/6/1995,0.073713847
11/13/1995,0.073713847
11/20/1995,0.073713847
11/27/1995,0.073713847
12/4/1995,0.073713847
12/11/1995,0.073713847
12/18/1995,0.073713847
12/25/1995,0.073713847
1/1/1996,0.09924752
1/8/1996,0.09924752
1/15/1996,0.09924752
1/22/1996,0.09924752
1/29/1996,0.09924752
2/5/1996,0.09924752
2/12/1996,0.09924752
2/19/1996,0.09924752
2/26/1996,0.09924752
3/4/1996,0.09924752
3/11/1996,0.09924752
3/18/1996,0.09924752
3/25/1996,0.09924752
4/1/1996,0.09924752
4/8/1996,0.09924752
4/15/1996,0.09924752
4/22/1996,0.09924752
4/29/1996,0.09924752
5/6/1996,0.09924752
5/13/1996,0.09924752
5/20/1996,0.09924752
5/27/1996,0.09924752
6/3/1996,0.09924752
6/10/1996,0.09924752
6/17/1996,0.09924752
6/24/1996,0.09924752
7/1/1996,0.09924752
7/8/1996,0.09924752
7/15/1996,0.09924752
7/22/1996,0.09924752
7/29/1996,0.09924752
8/5/1996,0.09924752
8/12/1996,0.09924752
8/19/1996,0.09924752
8/26/1996,0.09924752
9/2/1996,0.09924752
9/9/1996,0.09924752
9/16/1996,0.09924752
9/23/1996,0.09924752
9/30/1996,0.09924752
10/7/1996,0.09924752
10/14/1996,0.09924752
10/21/1996,0.09924752
10/28/1996,0.09924752
11/4/1996,0.09924752
11/11/1996,0.09924752
11/18/1996,0.09924752
11/25/1996,0.09924752
12/2/1996,0.09924752
12/9/1996,0.09924752
12/16/1996,0.09924752
12/23/1996,0.09924752
12/30/1996,0.09924752
1/6/1997,0.09285759
1/13/1997,0.09285759
1/20/1997,0.09285759
1/27/1997,0.09285759
2/3/1997,0.09285759
2/10/1997,0.09285759
