,PPI: Manufacturing: Coke & Refined Petroleum Products
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,4Q2018=100
Source,Department of Census and Statistics
Status,Active
Series ID,474725307 (LIXGVAAAAAAAFF)
SR Code,SR158229157
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/06/2014
Last Obs. Date,11/25/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,30.18248256959578
Variance,424.6357798628233
Standard Deviation,20.606692598833597
Skewness,1.4393294533994974
Kurtosis,1.0662694434707296
Coefficient Variation,0.682736834232174
Min,8.747617631999999
Max,100.8
Median,23.133102175
Sum,
Subtract,
07/19/2021,23.40239931
07/26/2021,23.40239931
08/02/2021,19.231046302
08/09/2021,19.231046302
08/16/2021,19.231046302
08/23/2021,19.231046302
08/30/2021,19.231046302
09/06/2021,24.85
09/13/2021,24.85
09/20/2021,24.85
09/27/2021,24.85
10/04/2021,27.3
10/11/2021,27.3
10/18/2021,27.3
10/25/2021,27.3
11/01/2021,22.2
11/08/2021,22.2
11/15/2021,22.2
11/22/2021,22.2
11/29/2021,22.2
12/06/2021,28.4398836225
12/13/2021,28.4398836225
12/20/2021,28.4398836225
12/27/2021,28.4398836225
01/03/2022,34.48
01/10/2022,34.48
01/17/2022,34.48
01/24/2022,34.48
01/31/2022,34.48
02/07/2022,30.62041986
02/14/2022,30.62041986
02/21/2022,30.62041986
02/28/2022,30.62041986
03/07/2022,30.9
03/14/2022,30.9
03/21/2022,30.9
03/28/2022,30.9
04/04/2022,40.175
04/11/2022,40.175
04/18/2022,40.175
04/25/2022,40.175
05/02/2022,48.2
05/09/2022,48.2
05/16/2022,48.2
05/23/2022,48.2
05/30/2022,48.2
06/06/2022,61.75
06/13/2022,61.75
06/20/2022,61.75
06/27/2022,61.75
07/04/2022,61.75
07/11/2022,61.75
07/18/2022,61.75
07/25/2022,61.75
08/01/2022,63.62
08/08/2022,63.62
08/15/2022,63.62
08/22/2022,63.62
08/29/2022,63.62
09/05/2022,82.825
09/12/2022,82.825
09/19/2022,82.825
09/26/2022,82.825
10/03/2022,80.64
10/10/2022,80.64
10/17/2022,80.64
10/24/2022,80.64
10/31/2022,80.64
11/07/2022,100.8
11/14/2022,100.8
11/21/2022,100.8
11/28/2022,100.8
12/05/2022,100.8
12/12/2022,100.8
12/19/2022,100.8
12/26/2022,100.8
01/02/2023,69.48
01/09/2023,69.48
01/16/2023,69.48
01/23/2023,69.48
01/30/2023,69.48
02/06/2023,73.25
02/13/2023,73.25
02/20/2023,73.25
02/27/2023,73.25
03/06/2023,70.475
03/13/2023,70.475
03/20/2023,70.475
03/27/2023,70.475
04/03/2023,69.575
04/10/2023,69.575
04/17/2023,69.575
04/24/2023,69.575
