,GDP: Gross National Income
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,505766057 (LAZAAABBAAABGF)
SR Code,SR201148097
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: Gross National Income {368704357} [SPLICE(GDP: Gross National Income {505766057}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,17/12/2024
Series remarks,
Suggestions,
Mean,282952.44400477887
Variance,14855940743.513084
Standard Deviation,121884.94879809026
Skewness,0.9344360838705482
Kurtosis,-0.024069388919615964
Coefficient Variation,0.43076125115933517
Min,115148.6183682216
Max,595908.7692307692
Median,250893.23076923078
Sum,
Subtract,
07/23/2018,292853.615384615
07/30/2018,292853.615384615
08/06/2018,292853.615384615
08/13/2018,292853.615384615
08/20/2018,292853.615384615
08/27/2018,292853.615384615
09/03/2018,292853.615384615
09/10/2018,292853.615384615
09/17/2018,292853.615384615
09/24/2018,292853.615384615
10/01/2018,264676.571428571
10/08/2018,264676.571428571
10/15/2018,264676.571428571
10/22/2018,264676.571428571
10/29/2018,264676.571428571
11/05/2018,264676.571428571
11/12/2018,264676.571428571
11/19/2018,264676.571428571
11/26/2018,264676.571428571
12/03/2018,264676.571428571
12/10/2018,264676.571428571
12/17/2018,264676.571428571
12/24/2018,264676.571428571
12/31/2018,264676.571428571
01/07/2019,332178.666666667
01/14/2019,332178.666666667
01/21/2019,332178.666666667
01/28/2019,332178.666666667
02/04/2019,332178.666666667
02/11/2019,332178.666666667
02/18/2019,332178.666666667
02/25/2019,332178.666666667
03/04/2019,332178.666666667
03/11/2019,332178.666666667
03/18/2019,332178.666666667
03/25/2019,332178.666666667
04/01/2019,278577.153846154
04/08/2019,278577.153846154
04/15/2019,278577.153846154
04/22/2019,278577.153846154
04/29/2019,278577.153846154
05/06/2019,278577.153846154
05/13/2019,278577.153846154
05/20/2019,278577.153846154
05/27/2019,278577.153846154
06/03/2019,278577.153846154
06/10/2019,278577.153846154
06/17/2019,278577.153846154
06/24/2019,278577.153846154
07/01/2019,286426
07/08/2019,286426
07/15/2019,286426
07/22/2019,286426
07/29/2019,286426
08/05/2019,286426
08/12/2019,286426
08/19/2019,286426
08/26/2019,286426
09/02/2019,286426
09/09/2019,286426
09/16/2019,286426
09/23/2019,286426
09/30/2019,286426
10/07/2019,296305.461538462
10/14/2019,296305.461538462
10/21/2019,296305.461538462
10/28/2019,296305.461538462
11/04/2019,296305.461538462
11/11/2019,296305.461538462
11/18/2019,296305.461538462
11/25/2019,296305.461538462
12/02/2019,296305.461538462
12/09/2019,296305.461538462
12/16/2019,296305.461538462
12/23/2019,296305.461538462
12/30/2019,296305.461538462
01/06/2020,311289.307692308
01/13/2020,311289.307692308
01/20/2020,311289.307692308
01/27/2020,311289.307692308
02/03/2020,311289.307692308
02/10/2020,311289.307692308
02/17/2020,311289.307692308
02/24/2020,311289.307692308
03/02/2020,311289.307692308
03/09/2020,311289.307692308
03/16/2020,311289.307692308
03/23/2020,311289.307692308
03/30/2020,311289.307692308
04/06/2020,235579.384615385
04/13/2020,235579.384615385
04/20/2020,235579.384615385
04/27/2020,235579.384615385
05/04/2020,235579.384615385
05/11/2020,235579.384615385
05/18/2020,235579.384615385
05/25/2020,235579.384615385
06/01/2020,235579.384615385
06/08/2020,235579.384615385
06/15/2020,235579.384615385
06/22/2020,235579.384615385
06/29/2020,235579.384615385
07/06/2020,316463.307692308
07/13/2020,316463.307692308
07/20/2020,316463.307692308
07/27/2020,316463.307692308
08/03/2020,316463.307692308
08/10/2020,316463.307692308
08/17/2020,316463.307692308
08/24/2020,316463.307692308
08/31/2020,316463.307692308
09/07/2020,316463.307692308
