,Revenue: Tax: Taxes on International Trade: Customs and Other Import Duties as % of Tax Revenue
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,%
Source,World Bank
Status,Active
Series ID,264027002
SR Code,SR5466638
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/01/1990
Last Obs. Date,12/25/2023
Last Update Time,16/01/2025
Series remarks,"Customs and other import duties are all levies collected on goods that are entering the country or services delivered by nonresidents to residents. They include levies imposed for revenue or protection purposes and determined on a specific or ad valorem basis as long as they are restricted to imported goods or services.;International Monetary Fund, Government Finance Statistics Yearbook and data files.;;"
Suggestions,
Mean,0.35267447252536643
Variance,0.011796838434473598
Standard Deviation,0.1086132516522436
Skewness,0.19799187562005047
Kurtosis,-0.9552484848792444
Coefficient Variation,0.30797026752320866
Min,0.17025316442307695
Max,0.5684920626923077
Median,0.23640550500000002
Sum,
Subtract,
08/11/2003,0.28378600961539
08/18/2003,0.28378600961539
08/25/2003,0.28378600961539
09/01/2003,0.28378600961539
09/08/2003,0.28378600961539
09/15/2003,0.28378600961539
09/22/2003,0.28378600961539
09/29/2003,0.28378600961539
10/06/2003,0.28378600961539
10/13/2003,0.28378600961539
10/20/2003,0.28378600961539
10/27/2003,0.28378600961539
11/03/2003,0.28378600961539
11/10/2003,0.28378600961539
11/17/2003,0.28378600961539
11/24/2003,0.28378600961539
12/01/2003,0.28378600961539
12/08/2003,0.28378600961539
12/15/2003,0.28378600961539
12/22/2003,0.28378600961539
12/29/2003,0.28378600961539
01/05/2004,0.28069688461539
01/12/2004,0.28069688461539
01/19/2004,0.28069688461539
01/26/2004,0.28069688461539
02/02/2004,0.28069688461539
02/09/2004,0.28069688461539
02/16/2004,0.28069688461539
02/23/2004,0.28069688461539
03/01/2004,0.28069688461539
03/08/2004,0.28069688461539
03/15/2004,0.28069688461539
03/22/2004,0.28069688461539
03/29/2004,0.28069688461539
04/05/2004,0.28069688461539
04/12/2004,0.28069688461539
04/19/2004,0.28069688461539
04/26/2004,0.28069688461539
05/03/2004,0.28069688461539
05/10/2004,0.28069688461539
05/17/2004,0.28069688461539
05/24/2004,0.28069688461539
05/31/2004,0.28069688461539
06/07/2004,0.28069688461539
06/14/2004,0.28069688461539
06/21/2004,0.28069688461539
06/28/2004,0.28069688461539
07/05/2004,0.28069688461539
07/12/2004,0.28069688461539
07/19/2004,0.28069688461539
07/26/2004,0.28069688461539
08/02/2004,0.28069688461539
08/09/2004,0.28069688461539
08/16/2004,0.28069688461539
08/23/2004,0.28069688461539
08/30/2004,0.28069688461539
09/06/2004,0.28069688461539
09/13/2004,0.28069688461539
09/20/2004,0.28069688461539
09/27/2004,0.28069688461539
10/04/2004,0.28069688461539
10/11/2004,0.28069688461539
10/18/2004,0.28069688461539
10/25/2004,0.28069688461539
11/01/2004,0.28069688461539
11/08/2004,0.28069688461539
11/15/2004,0.28069688461539
11/22/2004,0.28069688461539
11/29/2004,0.28069688461539
12/06/2004,0.28069688461539
12/13/2004,0.28069688461539
12/20/2004,0.28069688461539
12/27/2004,0.28069688461539
01/03/2005,0.25914770269231
01/10/2005,0.25914770269231
01/17/2005,0.25914770269231
01/24/2005,0.25914770269231
01/31/2005,0.25914770269231
02/07/2005,0.25914770269231
02/14/2005,0.25914770269231
02/21/2005,0.25914770269231
02/28/2005,0.25914770269231
03/07/2005,0.25914770269231
03/14/2005,0.25914770269231
03/21/2005,0.25914770269231
03/28/2005,0.25914770269231
04/04/2005,0.25914770269231
