,GDP: FCE: Households
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,LKR mn
Source,Department of Census and Statistics
Status,Active
Series ID,495105947 (LAZAAABBAAABCG)
SR Code,SR173549697
Trade Code,
Mnemonic,
Function Description,SPLICE(GDP: FCE: Households {375579907} [SPLICE(GDP: FCE: Households {495105947}; No; Average ratio; Range; 2015-03-01; 2015-03-01)]; No; Average ratio; Range; 2015-03-01; 2015-03-01) > DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/04/2010
Last Obs. Date,09/30/2024
Last Update Time,31/12/2024
Series remarks,
Suggestions,
Mean,185772.4610423654
Variance,7977347929.944695
Standard Deviation,89316.00041394988
Skewness,1.1986322640932057
Kurtosis,0.400815673896608
Coefficient Variation,0.4807817042030862
Min,81078.58747649682
Max,404535.3781118908
Median,157350.83264298152
Sum,
Subtract,
04/15/2019,185191.247149182
04/22/2019,185191.247149182
04/29/2019,185191.247149182
05/06/2019,185191.247149182
05/13/2019,185191.247149182
05/20/2019,185191.247149182
05/27/2019,185191.247149182
06/03/2019,185191.247149182
06/10/2019,185191.247149182
06/17/2019,185191.247149182
06/24/2019,185191.247149182
07/01/2019,188594.625560899
07/08/2019,188594.625560899
07/15/2019,188594.625560899
07/22/2019,188594.625560899
07/29/2019,188594.625560899
08/05/2019,188594.625560899
08/12/2019,188594.625560899
08/19/2019,188594.625560899
08/26/2019,188594.625560899
09/02/2019,188594.625560899
09/09/2019,188594.625560899
09/16/2019,188594.625560899
09/23/2019,188594.625560899
09/30/2019,188594.625560899
10/07/2019,183518.178175934
10/14/2019,183518.178175934
10/21/2019,183518.178175934
10/28/2019,183518.178175934
11/04/2019,183518.178175934
11/11/2019,183518.178175934
11/18/2019,183518.178175934
11/25/2019,183518.178175934
12/02/2019,183518.178175934
12/09/2019,183518.178175934
12/16/2019,183518.178175934
12/23/2019,183518.178175934
12/30/2019,183518.178175934
01/06/2020,210924.204771852
01/13/2020,210924.204771852
01/20/2020,210924.204771852
01/27/2020,210924.204771852
02/03/2020,210924.204771852
02/10/2020,210924.204771852
02/17/2020,210924.204771852
02/24/2020,210924.204771852
03/02/2020,210924.204771852
03/09/2020,210924.204771852
03/16/2020,210924.204771852
03/23/2020,210924.204771852
03/30/2020,210924.204771852
04/06/2020,155585.18516416
04/13/2020,155585.18516416
04/20/2020,155585.18516416
04/27/2020,155585.18516416
05/04/2020,155585.18516416
