,Refined Products: Demand: Local Sales: Auto Diesel: Annual
Region,Sri Lanka
Subnational,
Frequency,Weekly beginning at Monday
Unit,Metric Ton th
Source,Central Bank of Sri Lanka
Status,Active
Series ID,30772901 (LBKFB)
SR Code,SR854639
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Weekly; Sunday; Distribute)
First Obs. Date,01/05/1987
Last Obs. Date,12/26/2022
Last Update Time,27/04/2023
Series remarks,
Suggestions,
Mean,27.93827209797656
Variance,113.19580828107763
Standard Deviation,10.639351873167728
Skewness,-0.6610701700814028
Kurtosis,-1.0174332292093504
Coefficient Variation,0.38081638820957314
Min,9.299057692307692
Max,42.19230769230769
Median,36.34615384615385
Sum,
Subtract,
04/27/1998,23.5384615384615
05/04/1998,23.5384615384615
05/11/1998,23.5384615384615
05/18/1998,23.5384615384615
05/25/1998,23.5384615384615
06/01/1998,23.5384615384615
06/08/1998,23.5384615384615
06/15/1998,23.5384615384615
06/22/1998,23.5384615384615
06/29/1998,23.5384615384615
07/06/1998,23.5384615384615
07/13/1998,23.5384615384615
07/20/1998,23.5384615384615
07/27/1998,23.5384615384615
08/03/1998,23.5384615384615
08/10/1998,23.5384615384615
08/17/1998,23.5384615384615
08/24/1998,23.5384615384615
08/31/1998,23.5384615384615
09/07/1998,23.5384615384615
09/14/1998,23.5384615384615
09/21/1998,23.5384615384615
09/28/1998,23.5384615384615
10/05/1998,23.5384615384615
10/12/1998,23.5384615384615
10/19/1998,23.5384615384615
10/26/1998,23.5384615384615
11/02/1998,23.5384615384615
11/09/1998,23.5384615384615
11/16/1998,23.5384615384615
11/23/1998,23.5384615384615
11/30/1998,23.5384615384615
12/07/1998,23.5384615384615
12/14/1998,23.5384615384615
12/21/1998,23.5384615384615
12/28/1998,23.5384615384615
01/04/1999,26.4807692307692
01/11/1999,26.4807692307692
01/18/1999,26.4807692307692
01/25/1999,26.4807692307692
02/01/1999,26.4807692307692
02/08/1999,26.4807692307692
02/15/1999,26.4807692307692
02/22/1999,26.4807692307692
03/01/1999,26.4807692307692
03/08/1999,26.4807692307692
03/15/1999,26.4807692307692
03/22/1999,26.4807692307692
03/29/1999,26.4807692307692
04/05/1999,26.4807692307692
04/12/1999,26.4807692307692
04/19/1999,26.4807692307692
04/26/1999,26.4807692307692
05/03/1999,26.4807692307692
05/10/1999,26.4807692307692
05/17/1999,26.4807692307692
05/24/1999,26.4807692307692
05/31/1999,26.4807692307692
06/07/1999,26.4807692307692
06/14/1999,26.4807692307692
06/21/1999,26.4807692307692
06/28/1999,26.4807692307692
07/05/1999,26.4807692307692
07/12/1999,26.4807692307692
07/19/1999,26.4807692307692
07/26/1999,26.4807692307692
08/02/1999,26.4807692307692
08/09/1999,26.4807692307692
08/16/1999,26.4807692307692
08/23/1999,26.4807692307692
08/30/1999,26.4807692307692
09/06/1999,26.4807692307692
09/13/1999,26.4807692307692
09/20/1999,26.4807692307692
09/27/1999,26.4807692307692
10/04/1999,26.4807692307692
10/11/1999,26.4807692307692
10/18/1999,26.4807692307692
10/25/1999,26.4807692307692
11/01/1999,26.4807692307692
11/08/1999,26.4807692307692
11/15/1999,26.4807692307692
11/22/1999,26.4807692307692
